CityCode,Area,p02,p24,p46,p68,p810
1,1,0.892682609,26.38952238,52.71062748,16.15625204,3.850915488
2,5,0.175663673,13.08200928,55.67748939,26.42850094,4.636336722
3,1,0.329582907,13.93340152,54.56301852,27.60540971,3.568587339
4,3,0.897560976,24.42926829,51.90243902,16.60487805,6.165853659
5,2,0.950570342,19.77186312,51.71102662,23.38403042,4.182509506
6,2,0.364298725,19.85428051,52.64116576,23.13296903,4.007285974
7,2,0.340136054,9.693877551,52.04081633,35.03401361,2.891156463
8,2,0,8.119361554,49.75711312,35.04510756,7.078417765
9,2,0.285442436,9.229305423,44.62416746,33.01617507,12.84490961
10,2,0.785340314,15.18324607,49.04013962,28.88307155,6.108202443
11,2,0,10.91549296,48.94366197,32.3943662,7.746478873
12,2,0.567302733,20.47447138,52.93965962,20.2166065,5.801959773
13,2,0.536480687,18.02575107,48.39055794,26.28755365,6.759656652
14,2,0.296150049,15.39980257,47.48272458,28.72655479,8.094768016
15,2,0.626566416,15.82080201,48.99749373,27.60025063,6.954887218
16,1,0.147528891,9.736906811,51.78264077,33.24317679,5.089746742
17,1,0.647249191,20.71197411,53.0420712,19.6763754,5.922330097
18,2,0.522680605,18.05114803,54.71345903,21.50457346,5.208138884
19,1,0.857286939,24.39065389,54.84955455,16.40611868,3.496385947
21,1,0.501519757,17.67477204,56.04863222,21.10942249,4.665653495
22,1,0.701402806,22.99599198,55.03507014,16.18236473,5.085170341
23,2,1.092896175,24.3559719,49.10226386,19.59406714,5.854800937
24,1,0.484496124,12.37080103,56.26614987,25.64599483,5.23255814
25,1,0.13610733,7.3984056,52.46937585,35.55317908,4.442932141
26,1,0.398883127,14.45951336,54.50737934,25.83765457,4.796569605
27,1,0.132100396,10.27741083,49.24702774,35.56142668,4.782034346
28,3,0.792976494,23.48720853,52.20428585,18.50278486,5.012744265
29,3,1.419367828,24.16951882,51.99315482,15.71371049,6.704248037
30,3,0.775922878,21.56125088,52.24547378,17.23489302,8.18245944
31,3,0.925497455,20.49976863,53.35492827,19.06524757,6.154558075
32,3,0.571895425,19.93464052,55.67810458,19.56699346,4.248366013
33,3,0.457721031,18.06793544,51.93929174,20.81426162,8.720790171
34,3,0.323404255,18.21276596,58.4,17.73617021,5.327659574
35,3,0.559629487,23.54303358,57.54534929,14.53106909,3.820918564
36,4,0.193050193,12.03346203,54.89060489,25.74002574,7.142857143
37,3,0.130060153,13.7050886,55.09673224,26.84116404,4.226954967
38,4,0.35359116,16.30939227,53.8121547,24.48618785,5.038674033
39,3,0.297353553,18.58459709,55.93220339,20.72554267,4.460303301
40,4,0.615153788,20,54.94373593,20.18004501,4.261065266
41,3,0.308880309,16.75675676,58.22393822,21.54440154,3.166023166
42,4,0.095602294,8.546845124,49.75143403,35.69789675,5.908221797
43,5,0.235143224,15.9897392,54.21120137,25.01068833,4.553227875
44,5,0.017421603,3.397212544,41.93379791,48.50174216,6.149825784
45,3,0.10940919,17.66958425,55.03282276,23.63238512,3.555798687
46,5,0.045787546,10.73717949,53.66300366,31.93681319,3.617216117
47,3,0.157191512,9.824469479,51.0610427,34.05816086,4.899135447
48,5,0.278877294,14.77150054,58.48326736,23.33573228,3.130622526
49,6,0.122399021,11.37086903,54.90820073,30.33047736,3.268053856
50,6,0.122369065,8.859520313,51.39500734,33.03964758,6.583455702
51,6,0.072634828,5.374977302,42.05556564,43.96222989,8.534592337
52,5,0.17283595,15.35359355,58.620193,23.66412214,2.189255365
53,6,0.101959896,9.561572448,54.08406027,31.85680299,4.395604396
54,6,0.141010576,10.27027027,48.53113984,35.76968273,5.287896592
55,6,0.106587082,8.974632275,42.05926242,35.94116393,12.9183543
56,6,0.041657988,5.144761508,45.5321808,43.1160175,6.165382212
57,6,0,2.954365603,34.47639145,53.23133738,9.337905566
58,6,0.085034014,7.695578231,48.25680272,37.11734694,6.845238095
59,6,0.06655574,12.64559068,53.57737105,28.88519135,4.825291181
60,6,0,6.162345941,47.64130897,39.43901402,6.757331067
61,6,0.086151195,11.95347835,50.78612966,32.11285807,5.061382727
62,2,0,14.39393939,48.61111111,30.68181818,6.313131313
63,4,0.340425532,18.72340426,57.19148936,20.08510638,3.659574468
64,6,0.088300221,10.90507726,52.40618102,31.16997792,5.430463576
