CityCode,Area,p02,p24,p46,p68,p810
1,1,1.110540506,16.15740146,25.43972269,38.1403261,19.15200924
2,5,0.154889813,6.40537997,29.78982041,50.97443338,12.67547643
3,1,0.40417649,9.689008645,26.60828562,45.78421466,17.51431458
4,3,0.420811018,12.14613619,26.97016067,41.48814078,18.97475134
5,2,0.361663653,11.03074141,30.19891501,45.38878843,13.0198915
6,2,0.490196078,8.660130719,26.30718954,52.94117647,11.60130719
7,2,0.325732899,6.840390879,23.94136808,53.58306189,15.30944625
8,2,0.407885792,9.17743032,25.35690007,46.90686608,18.15091774
9,2,0,4.255319149,20.07400555,52.63644773,23.03422757
10,2,0.493015612,10.27115859,26.62284306,46.17912901,16.43385374
11,2,0.666666667,6,25,51.33333333,17
12,2,0.277847941,6.84516292,22.65723668,49.40641576,20.8133367
13,2,0.416233091,8.324661811,23.93340271,47.97086368,19.35483871
14,2,0.469924812,6.954887218,26.03383459,47.18045113,19.36090226
15,2,0.213871066,6.141154904,19.85945616,45.89062023,27.89489765
16,1,0.337024555,6.692344728,21.76215696,46.34087626,24.8675975
17,1,0.856870835,14.28118058,25.96001269,39.76515392,19.13678197
18,2,0.310786106,9.28702011,21.90127971,47.14808044,21.35283364
19,1,0.364419414,8.133178731,21.99768097,45.33708796,24.16763293
21,1,0.418097656,9.317604898,21.9202628,46.6925489,21.65148574
22,1,0.416973265,7.554574442,20.48074565,45.89158695,25.6561197
23,2,0.601051841,11.94590533,23.96694215,45.30428249,18.18181818
24,1,0.285171103,5.735107731,19.64512041,48.47908745,25.85551331
25,1,0.143636886,4.586804558,15.65642057,52.67643397,26.93670401
26,1,0.294319631,7.102913764,20.58275287,49.21024232,22.80977141
27,1,0.154559505,4.817104585,19.52601752,52.08655332,23.41576507
28,3,0.658496433,11.43222974,22.8553137,40.34205231,24.71190781
29,3,0.697788698,10.75184275,22.84029484,42.85995086,22.85012285
30,3,0.295790671,8.600682594,18.95335609,45.71103527,26.43913538
31,3,0.357781753,9.436493739,25.40250447,47.94275492,16.86046512
32,3,0.313848568,9.101608474,25.97096901,46.92036093,17.69321302
33,3,0.189304307,6.057737814,19.90061524,48.01230478,25.84003786
34,3,0.184162063,7.316256488,26.35191696,49.84095095,16.30671354
35,3,0.342857143,5.942857143,22.97142857,53.23809524,17.5047619
36,4,0.127226463,8.20610687,27.92620865,46.94656489,16.79389313
37,3,0.225225225,4.375804376,24.29214929,55.18018018,15.92664093
38,4,0.259515571,8.369377163,25.73529412,49.9783737,15.65743945
39,3,0.117130307,8.257686676,25.68081991,50.10248902,15.84187408
40,4,0.468727113,9.345246814,25.54562765,48.07382452,16.5665739
41,3,0.383141762,11.90804598,29.16475096,45.7164751,12.82758621
42,4,0.056211355,4.065954656,25.22016114,55.74292674,14.91474611
43,5,0.35744323,10.42893188,29.81497056,46.55172414,12.84693019
44,5,0.068364382,2.649119809,18.23619894,60.60502478,18.44129209
45,3,0.378787879,8.712121212,26.35281385,49.51298701,15.04329004
46,5,0.181200453,7.542468856,28.78822197,51.21177803,12.27633069
47,3,0.257798402,6.032482599,24.72286672,54.88527971,14.10157257
48,5,0.267498885,6.580472581,26.95497102,52.9915292,13.20552831
49,6,0.109289617,5.537340619,26.26593807,56.73345477,11.35397693
50,6,0.145348837,5.571705426,25.99321705,54.53003876,13.75968992
51,6,0.07213706,4.093778179,22.48872858,59.51307484,13.83228133
52,5,0.199828718,8.221524408,30.93063089,49.5717956,11.07622038
53,6,0.123845981,6.181040306,25.42220221,54.75118217,13.52172934
54,6,0.231910946,10.15769944,30.44990724,48.95640074,10.20408163
55,6,0.438321853,6.679190148,20.43414736,51.17929451,21.26904613
56,6,0.103050289,3.462489695,22.60923331,59.29513603,14.53009068
57,6,0.130821559,4.160125589,20.30350602,59.60230246,15.80324437
58,6,0.336417157,6.938603869,26.99747687,53.61648444,12.11101766
59,6,0.461589186,9.660402242,32.41015496,46.75239037,10.71546324
60,6,0.29264214,5.267558528,26.00334448,53.42809365,15.0083612
61,6,0.341588386,12.33988044,32.00256191,44.49188728,10.82408198
62,2,0.474495848,9.608540925,20.87781732,48.99169632,20.04744958
63,4,0.292031706,10.05423446,29.9541093,47.55944931,12.14017522
64,6,0.216356556,7.572479446,27.21765469,52.18520121,12.80830809
