CityCode,Area,p02,p24,p46,p68,p810
1,1,0.027990133,0.276402568,4.814302958,37.76743698,57.11386736
2,5,0.007103534,0.049724738,1.445569171,26.00958977,72.48801279
3,1,0.0082021,0.082020997,1.320538058,18.6351706,79.95406824
4,3,0,0.511018844,6.755030342,40.80166081,51.93229
5,2,0.067430883,2.045403461,14.83479434,40.81816138,42.23420993
6,2,0,0.747986191,9.263521289,37.83084005,52.15765247
7,2,0,0.158982512,5.007949126,31.99523052,62.83783784
8,2,0.020462451,0.14323716,2.33271946,21.58788623,75.9156947
9,2,0,0.245558284,3.53892821,28.88920988,67.32630363
10,2,0,0.169100692,3.82782475,29.28516526,66.7179093
11,2,0,0.097560976,2.585365854,24.14634146,73.17073171
12,2,0.020929259,0.272080368,5.493930515,35.40184177,58.81121808
13,2,0.017424638,0.55758843,5.976650984,34.08259279,59.36574316
14,2,0.011650938,0.419433764,6.198298963,31.41092858,61.95968775
15,2,0.019557989,0.078231958,1.437512224,17.80754938,80.65714845
16,1,0,0.015453562,0.432699737,12.39375676,87.15808994
17,1,0.028053114,0.467551898,5.657377969,30.19450159,63.65251543
18,2,0,0.116501623,3.020720646,26.46251144,70.40026629
19,1,0.023957834,0.227599425,4.072831816,27.71921418,67.95639674
21,1,0,0.101841636,1.587032165,22.37969957,75.93142663
22,1,0,0.370811813,4.979472917,36.14090849,58.50880678
23,2,0,0.674318508,8.378766141,35.6097561,55.33715925
24,1,0.019331142,0.019331142,0.869901411,17.37869708,81.71273922
25,1,0,0.024113817,0.759585242,14.37183506,84.84446588
26,1,0,0.157068063,2.010471204,22,75.83246073
27,1,0,0.111586386,0.929886554,11.51199554,87.44653152
28,3,0.029868578,0.392558457,4.778972521,28.28981055,66.5087899
29,3,0.037028466,0.407313122,5.049757001,33.83938903,60.66651238
30,3,0,0.108735049,2.827111272,25.5527365,71.51141718
31,3,0.022301517,0.63559322,7.169937556,33.14005352,59.03211418
32,3,0.055720654,1.393016345,9.323922734,40.58320951,48.64413076
33,3,0.036075036,0.733525734,6.938431938,37.67436267,54.61760462
34,3,0.020175527,1.018864118,9.643901947,45.12256633,44.19449208
35,3,0.045454545,1.757575758,13.15151515,47.06060606,37.98484848
36,4,0,0.515653775,7.145488029,34.9907919,57.3480663
37,3,0.009024456,0.333904882,4.259543363,32.10901543,63.28851187
38,4,0.01189485,0.463899132,6.090162959,33.81705721,59.61698585
39,3,0.016398819,0.836339784,11.5611676,45.44112824,42.14496556
40,4,0.026132404,0.905923345,9.68641115,40.59233449,48.78919861
41,3,0.036023055,0.486311239,6.880403458,37.03170029,55.56556196
42,4,0,0.084306877,2.986872215,29.62784536,67.30097555
43,5,0,0.145924536,3.648113404,29.6435272,66.56243486
44,5,0,0,0.297914598,11.51936445,88.18272095
45,3,0,0.68212824,8.567530696,43.02864939,47.72169168
46,5,0.022075055,0.066225166,2.626931567,28.43267108,68.85209713
47,3,0,0.134102186,3.459836395,29.70363417,66.70242725
48,5,0,0.18736038,4.511061469,37.24147871,58.06009945
49,6,0.015523129,0.108661906,2.530270102,23.9211425,73.42440236
50,6,0,0.071968334,2.590860022,26.26844189,71.06872976
51,6,0,0.068994067,1.145301504,17.40030357,81.38540086
52,5,0,0.171821306,3.221649485,27.77061856,68.83591065
53,6,0,0.062285892,1.557147306,24.71192775,73.66863905
54,6,0,0.127437237,2.790875494,27.97247356,69.10921371
55,6,0,0.049067713,2.338894341,28.03402028,69.57801766
56,6,0.014602804,0.029205607,0.97838785,21.8603972,77.11740654
57,6,0,0,0.870967742,18.33870968,80.79032258
58,6,0,0.192240475,4.176861237,34.13142258,61.49947571
59,6,0,0.151057402,4.598858677,35.21315878,60.03692514
60,6,0,0.029274005,1.551522248,21.19437939,77.22482436
61,6,0,0.033534541,2.079141516,24.0945674,73.79275654
62,2,0,0.932918703,7.685473123,35.96179476,55.41981342
63,4,0,0.279755849,7.629704985,39.97965412,52.11088505
64,6,0,0.120831319,3.697438376,32.23779604,63.94393427
