CityCode,Area,p02,p24,p46,p68,p810
1,1,1.717850508,24.01091718,17.76335405,19.10162611,37.40625215
2,5,0.315108046,8.815114639,18.05344971,30.20422693,42.61210068
3,1,0.880826549,17.94505547,24.55839642,24.02990049,32.58582107
4,3,1.3101983,19.90084986,21.80417847,24.21211048,32.77266289
5,2,5.951667665,55.32254843,23.74675454,8.64789295,6.331136409
6,2,4.019607843,50.93137255,25.04901961,11.15196078,8.848039216
7,2,0.289296046,27.99742848,54.77338476,11.98971392,4.950176792
8,2,1.091944928,31.5398006,39.38914385,15.80946352,12.1696471
9,2,1.788841631,35.77683262,37.49061796,14.87365524,10.07005254
10,2,2.371387845,40.18400933,31.82583906,14.56524556,11.05351821
11,2,2.26109215,39.84641638,33.57508532,14.46245734,9.854948805
12,2,1.946163597,33.67384982,32.83871449,17.64969055,13.89158154
13,2,0.955081331,26.20504402,40.08356962,18.40023877,14.35606626
14,2,2.541931451,50.80737577,31.79497864,8.646734035,6.208980102
15,2,0.571216617,21.2537092,38.70919881,21.14243323,18.32344214
16,1,0.389252824,17.35497959,31.77632204,24.79825311,25.68119244
17,1,1.576757428,26.26469085,27.8852471,20.94313454,23.33017009
18,2,0.928899083,23.22821101,36.43348624,22.5,16.90940367
19,1,1.144212656,23.39356729,30.0076746,21.87957859,23.57496686
21,1,1.217258994,23.98108901,28.69253342,22.92142158,23.18769699
22,1,1.739807842,28.61594391,30.55483424,20.02077382,19.06864018
23,2,4.526201138,52.77744161,24.76098269,9.342853685,8.592520876
24,1,1.024466675,24.33409666,30.91478848,22.20079547,21.52585272
25,1,0.474444684,13.45158508,30.30515419,29.9223636,25.84645245
26,1,0.741119346,22.18757986,32.33835932,23.12803476,21.60490672
27,1,0.250027177,11.92520926,36.2430699,28.09000978,23.49168388
28,3,2.656919735,38.68827432,28.15747754,15.27508661,15.22224179
29,3,2.775648397,41.47182829,28.78178101,13.42787786,13.54286444
30,3,1.329665291,30.39234951,36.84417371,17.20704788,14.22676361
31,3,1.840050265,36.63943991,35.06866529,15.72569787,10.72614667
32,3,2.477650064,37.26692209,29.80842912,16.24521073,14.20178799
33,3,1.670297749,28.75010086,28.00774631,20.93117082,20.64068426
34,3,1.858311664,32.44751697,33.06906831,18.28502569,14.34007738
35,3,1.373485753,28.03275891,33.67172837,21.3359495,15.58607746
36,4,1.430917194,34.50621628,30.84682149,17.96856674,15.2474783
37,3,0.661444735,17.37742965,33.81491152,28.66840731,19.47780679
38,4,1.709203403,35.07347254,31.53905646,17.3549884,14.3232792
39,3,2.037351443,35.48387097,27.90747029,18.3679966,16.2033107
40,4,2.985074627,39.01603096,27.36318408,16.95964621,13.67606412
41,3,1.468392235,24.44001991,24.86311598,23.89248382,25.33598805
42,4,0.444411525,17.32464262,31.39767425,28.56084734,22.27242426
43,5,1.096699357,27.21712538,33.45987557,22.20816197,16.01813772
44,5,0.131295133,6.714808215,21.24167683,36.29372597,35.61849386
45,3,2.6,34.25454545,27.52727273,21,14.61818182
46,5,1.086469534,28.99865591,32.0452509,23.34229391,14.52732975
47,3,0.594815341,19.58451705,34.26846591,26.9087358,18.64346591
48,5,1.072926751,20.470313,27.68231688,26.63762504,24.13681833
49,6,0.54884742,21.3090011,36.87568606,26.20746432,15.0590011
50,6,0.821974821,25.0754344,36.01082093,25.60607637,12.48569348
51,6,0.204692174,11.15572351,35.31727287,33.06565895,20.2566525
52,5,0.407596913,13.09513485,25.04552944,27.75995144,33.69178736
53,6,0.717860906,20.28451001,30.83508957,27.91754478,20.24499473
54,6,1.20592149,29.82368596,37.0176314,20.41749834,11.53526281
55,6,1.315410466,24.74315891,30.14882381,23.8406145,19.95199232
56,6,0.752790517,24.27100459,35.61477892,24.93726746,14.42415852
57,6,0.241521586,15.18566972,40.03220288,29.05303411,15.4875717
58,6,1.952007957,40.18401094,33.94255875,16.01392515,7.907497203
59,6,1.586765699,35.75286968,35.08890389,18.10713482,9.464325906
60,6,0.43713936,17.4156321,40.30424899,28.30914496,13.53383459
61,6,1.382183092,32.00795229,37.62188772,19.75764461,9.230332292
62,2,1.666035593,46.9897766,36.84210526,8.67095797,5.831124574
63,4,3.02018757,42.99793356,30.98076617,13.8769671,9.124145605
64,6,2.966101695,45.85687382,31.73258004,13.21406152,6.230382925
