CityCode,Area,p02,p24,p46,p68,p810
1,1,0.120317521,1.77835165,24.83529705,61.67740232,11.58863146
2,5,0.032221213,0.629778259,16.82826093,67.25153051,15.25820909
3,1,0.0487601,1.344385623,17.60936194,59.58484257,21.41264976
4,3,0.181538891,2.91858679,30.47060466,57.95279989,8.476469767
5,2,0.201247736,5.956932985,32.66250755,52.64640773,8.532904005
6,2,0.049701789,3.677932406,24.20477137,55.49204771,16.57554672
7,2,0.069662139,1.880877743,18.98293278,62.03413445,17.03239289
8,2,0.069156293,1.054633472,18.8450899,59.07676349,20.95435685
9,2,0.040016006,1.147125517,18.64745898,62.39829265,17.76710684
10,2,0.036742192,1.481935089,19.58358849,60.14696877,18.75076546
11,2,0,0.588466065,16.28089447,62.02432326,21.1063162
12,2,0.0861259,2.059191982,24.57720013,60.71875979,12.5587222
13,2,0,1.921981777,22.87870159,61.84510251,13.35421412
14,2,0.07877117,2.658526979,27.18589996,57.06971249,13.00708941
15,2,0.007883948,0.6859035,14.57742037,60.43046358,24.2983286
16,1,0.020699648,0.848685572,14.35520596,58.56965432,26.2057545
17,1,0.13799448,2.437902484,22.37810488,60.84789942,14.19809874
18,2,0.006535093,1.346229251,20.38949157,63.52110835,14.73663573
19,1,0.059423591,2.069921759,21.66980291,61.34495395,14.85589779
21,1,0.032569046,1.009640438,16.57764461,64.90359562,17.47655029
22,1,0.080767289,2.412922766,23.83644624,60.75719334,12.91267037
23,2,0.150187735,3.266583229,27.53441802,56.03254068,13.01627034
24,1,0.094369299,0.896508336,14.17112299,61.34004404,23.49795533
25,1,0.01946851,0.32123041,9.559038256,60.35238003,29.7478828
26,1,0.016052653,0.842764267,16.94357493,63.89758408,18.30002408
27,1,0.02845355,0.924740361,13.5438896,58.10214824,27.40076825
28,3,0.115143057,2.613398465,22.40753664,59.00907188,15.85484997
29,3,0.058838363,1.504580987,21.36673111,61.52811633,15.54173321
30,3,0.039460185,0.994396654,17.57556625,61.02122958,20.36934733
31,3,0.020951184,1.676094699,20.42740415,62.18311335,15.69243662
32,3,0.120151047,2.488843117,25.42052866,57.99862685,13.97185033
33,3,0.089535534,1.891438165,23.93956351,62.12646894,11.95299384
34,3,0.123094404,2.386137676,28.60524572,59.18947069,9.69605151
35,3,0.105152471,4.521556257,28.96950578,57.07150368,9.332281809
36,4,0.033377837,2.002670227,22.76368491,61.31508678,13.88518024
37,3,0.017244352,1.327815141,19.58096223,67.14950854,11.92446974
38,4,0.054752519,2.518615856,25.24091108,59.1108191,13.07490145
39,3,0.015678896,2.336155535,28.01818752,59.86202571,9.767952336
40,4,0.173064821,3.012901196,27.88703587,57.72498427,11.20201385
41,3,0.139004726,2.043369475,24.42313039,61.25938282,12.13511259
42,4,0,0.340290381,14.68920145,68.67059891,16.29990926
43,5,0.199600798,1.57866086,18.45400109,62.43875885,17.32897841
44,5,0.028901734,0.144508671,7.861271676,63.42485549,28.54046243
45,3,0.049738871,2.163640885,28.94802288,59.48768963,9.350907734
46,5,0,0.827260193,20.48453811,64.88083514,13.80736656
47,3,0.037490627,0.962259435,20.14496376,65.32116971,13.53411647
48,5,0.05836163,1.432512733,24.04499151,63.33828523,11.1258489
49,6,0,0.821536906,18.9206269,64.38321537,15.87462083
50,6,0.032242463,0.67709173,17.83008222,64.59777527,16.86280832
51,6,0.025173065,0.302076778,9.100062933,61.8250472,28.74764003
52,5,0.034370167,0.773328751,21.10328235,65.07991064,13.00910809
53,6,0.013906272,0.597969684,14.72674176,65.77666528,18.88471701
54,6,0.021741494,1.097945429,20.77399717,63.57212741,14.5341885
55,6,0.014078558,0.872870618,18.14726172,62.1709137,18.7948754
56,6,0.060775495,0.364652972,15.5949921,66.2209797,17.75859973
57,6,0,0.472525989,12.35317942,64.45254489,22.7217497
58,6,0.015948963,1.148325359,22.34449761,63.52472089,12.96650718
59,6,0,1.017419454,23.23107754,64.00493294,11.74657006
60,6,0,0.336091003,12.46122027,63.10754912,24.09513961
61,6,0.016270745,0.699642044,17.2795314,63.26065734,18.74389847
62,2,0.07557151,2.550538447,23.99395428,56.43302475,16.94691101
63,4,0.071241985,1.496081691,24.34101164,60.91189741,13.17976728
64,6,0.022747953,0.818926297,20.56414923,63.48953594,15.10464058
