CityCode,Area,p02,p24,p46,p68,p810
1,1,2.761352713,34.86936005,39.28956337,18.77603332,4.303690542
2,5,1.320093796,25.79104305,41.76533596,26.5089888,4.614538401
3,1,2.155232155,31.20582121,36.29244629,23.84615385,6.5003465
4,3,4.19695515,42.36730215,35.49581676,14.86764504,3.072280894
5,2,4.902351534,46.990833,31.46671981,13.51135911,3.128736548
6,2,3.50271337,35.07646769,34.85446473,18.50024667,8.066107548
7,2,1.738833958,30.7875895,37.12921923,24.00272758,6.341629731
8,2,1.799177519,30.02056203,37.23440713,23.90335846,7.042494859
9,2,2.751322751,32.88359788,36.21693122,21.48148148,6.666666667
10,2,2.870696995,34.04695293,36.16348376,20.47196205,6.44690427
11,2,1.831644583,30.16367888,37.06157443,22.36944661,8.573655495
12,2,3.638625408,38.20556679,35.26667703,17.74218629,5.146944488
13,2,2.890988577,38.2597659,35.80595121,17.92412918,5.119165139
14,2,3.838285436,41.56843643,32.96639065,16.25913298,5.367754506
15,2,1.519423559,25.7127193,36.22337093,26.47243108,10.07205514
16,1,1.313359327,22.33736918,34.99897394,30.45351939,10.89677817
17,1,3.513451719,37.0322384,36.91791784,17.719686,4.816706044
18,2,2.221353658,31.43117712,39.56745489,21.51651358,5.263500749
19,1,3.244779924,34.91814528,37.10420547,19.54710323,5.185766101
21,1,2.084550945,30.69030457,41.51568284,21.248133,4.461328658
22,1,2.686447474,35.38492382,37.73055333,19.38652767,4.811547715
23,2,3.60093723,41.46010606,34.20890369,15.20532741,5.524725614
24,1,1.900015574,26.55349634,36.24046099,26.44447905,8.861548045
25,1,1.018132454,20.96383206,36.30369437,30.91244061,10.80190051
26,1,2.166440163,30.97769606,36.9254137,23.21528499,6.715165081
27,1,1.398107612,23.8101963,34.43016523,29.02132467,11.34020619
28,3,3.227261686,36.91570948,35.89894854,17.80546205,6.152618246
29,3,3.060539997,38.2860976,37.47694114,16.14539661,5.031024652
30,3,2.480119676,33.42256515,36.06015274,20.51019605,7.526966381
31,3,3.23857128,37.60283245,36.65521191,17.93189628,4.571488077
32,3,3.831091435,41.61416652,33.84982122,14.72841818,5.976502639
33,3,3.075208914,37.33704735,38.66295265,17.27019499,3.6545961
34,3,3.81256456,41.9100385,36.9048737,14.48962344,2.882899803
35,3,4.166666667,41.26175549,34.66562173,16.13113898,3.774817137
36,4,2.675033025,37.02113606,36.09643329,19.64993395,4.557463672
37,3,3.447388732,39.25906869,37.37243804,16.1992968,3.721807735
38,4,3.06222174,37.6262352,35.94309914,17.94983169,5.418612227
39,3,3.599689682,42.73079907,34.32117921,15.36074476,3.987587277
40,4,3.395638629,41.07476636,35.57632399,16.0046729,3.948598131
41,3,3.460636978,41.22432097,34.78560596,16.3656418,4.163794292
42,4,1.55422908,30.44261741,41.1420205,22.95303525,3.908097759
43,5,2.19148554,34.54284175,38.51266391,19.72336986,5.029638944
44,5,0.94739819,18.12782805,37.04751131,35.74660633,8.130656109
45,3,3.66927593,43.54207436,34.78473581,14.481409,3.522504892
46,5,1.757774773,32.87618312,40.29360634,21.57620243,3.49623334
47,3,2.358898357,34.21020131,37.24836359,21.11893294,5.063603804
48,5,2.69188221,35.57920244,39.10867618,19.36469473,3.255544434
49,6,2.10474186,34.54252817,38.20725517,20.7626594,4.382815402
50,6,1.867838644,30.35630199,39.7582797,22.8064668,5.211112855
51,6,0.81300813,18.16949988,35.51367332,33.94924858,11.55457009
52,5,2.431972789,34.13265306,39.48979592,19.88095238,4.06462585
53,6,1.834360027,30.39014374,39.16495551,23.18959617,5.420944559
54,6,2.063288433,31.47316656,38.73209322,22.67479153,5.056660252
55,6,1.860785665,29.19365955,37.73949001,24.28669883,6.919365955
56,6,1.374653322,29.0485952,40.86579043,25.09345231,3.617508742
57,6,1.318242344,26.29826897,38.12250333,28.46870839,5.792276964
58,6,2.619270346,36.52946679,39.16432803,18.86498285,2.82195198
59,6,2.65997872,39.91488068,36.92050464,16.9630643,3.541571667
60,6,0.815702269,21.87101708,39.28116238,29.59469794,8.437420342
61,6,2.02833226,30.15132003,37.20218931,24.62974887,5.98840953
62,2,2.760281586,35.36494998,33.93849574,19.43312338,8.503149315
63,4,2.8,34.23529412,37.38823529,20.4,5.176470588
64,6,2.249443207,35.54565702,39.17594655,18.73051225,4.29844098
