CityCode,Area,p02,p24,p46,p68,p810
1,1,0.409143914,4.591057139,23.50114601,54.13164985,17.3670031
2,5,0.057646381,2.644674769,29.56671098,65.09688121,2.634086658
3,1,0.838060856,7.417913014,30.38507822,52.32937941,9.029568506
4,3,1.56565249,14.01823904,49.50367202,31.72463885,3.187797595
5,2,1.822117987,22.55096518,43.47826087,29.02760238,3.121053581
6,2,0.800519256,14.25789701,41.30246646,38.25183903,5.387278235
7,2,1.192504259,11.35718342,49.60249858,36.22941511,1.618398637
8,2,0.466904697,4.778906894,28.3026641,56.41307333,10.03845098
9,2,0.405938297,9.162607284,39.09765716,45.98700997,5.346787288
10,2,1.041334608,10.12644777,30.41122091,49.7821698,8.638826905
11,2,0.174764069,7.095421181,37.67913317,47.22125131,7.829430269
12,2,0.622195633,8.040682022,35.1480706,50.30810649,5.880945259
13,2,0.348562181,7.556330138,37.66961285,45.42512137,9.000373459
14,2,0.204117856,7.685481008,38.2144125,50.02662407,3.869364572
15,2,0.331623076,5.293455137,33.7692404,51.74571393,8.859967463
16,1,0.376266281,3.777134588,21.04920405,60.16642547,14.63096961
17,1,1.049641887,10.13213139,30.39021981,45.94344283,12.48456409
18,2,0.279585442,4.251626898,22.02940468,62.5066281,10.93275488
19,1,0.464856824,6.532787901,27.69926863,51.56191893,13.74116772
21,1,0.405614803,5.314009662,25.50815787,58.1806581,10.59155957
22,1,0.652516851,9.529614226,38.02524021,46.17811559,5.614513122
23,2,0.960614793,10.78023268,38.76614367,42.57658235,6.916426513
24,1,0.545931759,3.01312336,12.57742782,63.58005249,20.28346457
25,1,0.145715951,1.831163785,20.65280746,68.81678648,8.553526326
26,1,0.351877422,5.353881787,29.43744154,56.87051802,7.986281235
27,1,0.469008644,4.478572742,20.0110355,60.42854515,14.61283796
28,3,0.348016054,4.417517655,17.45160799,55.17197582,22.61088249
29,3,0.229391962,3.497482647,19.20934251,55.08088301,21.98289987
30,3,0.118028917,2.478607259,16.82502213,62.40188846,18.17645323
31,3,0.323459312,6.860742254,38.61933946,49.68505277,4.511406197
32,3,1.322433277,10.63957682,49.91584516,33.75811493,4.364029815
33,3,0.528452171,6.149957877,33.76732787,51.19093207,8.363330015
34,3,0.758081145,8.041724786,42.01588938,43.22881921,5.955485475
35,3,1.022718401,7.213677883,22.87454134,50.97977984,17.90928254
36,4,1.004147566,7.160008732,39.86029251,47.76249727,4.213053918
37,3,0.556148531,7.640020224,41.89090501,47.60406719,2.308859053
38,4,1.04910389,10.86259653,41.45417456,41.42503278,5.209092234
39,3,0.848583989,10.74532256,50.58787445,36.30508128,1.513137716
40,4,0.730715793,8.18710441,38.43976741,46.25636803,6.386044358
41,3,0.925521061,12.80425594,47.05582277,36.37953651,2.834863722
42,4,0.063789071,1.934935148,25.27464739,65.53263874,7.193989652
43,5,0.439324417,8.766962804,43.07331836,43.7860002,3.93439422
44,5,0.031225605,1.459797034,20.35128806,71.97501952,6.182669789
45,3,0.271508569,6.295604955,38.94451044,50.34787035,4.140505685
46,5,0.115207373,2.565982405,17.45915375,68.60075408,11.25890239
47,3,0.201918223,3.424196534,30.65791688,60.64277301,5.073195356
48,5,0.65448505,10.0730897,42.92358804,43.69767442,2.651162791
49,6,0.154007269,3.449762829,26.03954907,60.105957,10.25072383
50,6,0.076753334,2.216252518,21.99942435,67.23592056,8.471649237
51,6,0.058840836,1.265077964,18.27743454,62.07708149,18.32156517
52,5,0.17131288,3.986917926,23.70347298,64.67061205,7.467684161
53,6,0.173923846,3.677247034,18.76514069,58.57506677,18.80862165
54,6,0.214275159,4.943106251,35.00073888,55.24604699,4.595832718
55,6,0.215889465,2.754749568,23.35924007,62.32297064,11.34715026
56,6,0.16091954,4.360153257,39.48659004,51.29501916,4.697318008
57,6,0.293098854,5.675459632,45.51025846,47.66853184,0.852651212
58,6,0.343563903,7.443884563,37.42556115,50.73293633,4.054054054
59,6,0.041977122,1.857487669,17.0007346,65.90408228,15.19571833
60,6,0.032097577,1.556732467,19.00176537,71.57759589,7.831808698
61,6,0.157218163,4.263386664,32.49791917,57.07019329,6.011282715
62,2,0.355929461,5.824300275,32.35722375,53.43795502,8.02459149
63,4,0.63723259,13.7611895,53.70960401,30.64785313,1.244120771
64,6,0.148787383,4.210682934,38.80374944,52.20949264,4.627287606
