CityCode,Area,p02,p24,p46,p68,p810
1,1,0.721497834,8.432818645,17.7472456,42.34621889,30.75221903
2,5,0.066356228,2.196740396,16.34342258,57.45052386,23.94295693
3,1,0.499573015,6.806148591,18.7147737,45.55081127,28.42869342
4,3,0.956632653,7.900191327,18.65433673,47.29751276,25.19132653
5,2,2.997623835,35.66075672,34.27161396,20.92853226,6.141473222
6,2,1.92046995,29.14595572,33.84545865,26.90917307,8.178942612
7,2,0.464711008,8.916642463,40.31367993,41.85303514,8.451931455
8,2,0.372979693,10.45724548,34.03785053,42.82359442,12.30832988
9,2,0.622357915,13.89149836,40.86425552,35.81493659,8.80695162
10,2,1.32800691,21.93910602,37.16259987,31.27834161,8.291945584
11,2,0.707371556,17.72151899,38.01191363,35.70364855,7.855547282
12,2,1.102456561,15.36249251,29.83223487,37.22588376,16.47693229
13,2,0.920670955,15.90364485,38.71862782,33.59818388,10.85887249
14,2,1.332245786,25.82019213,42.64999094,23.88073228,6.316838862
15,2,0.325223591,8.374507474,28.93239102,43.86765902,18.5002189
16,1,0.424796602,8.265533876,20.93023256,44.71164231,25.66779466
17,1,1.319196153,15.46665023,28.8435458,38.33066206,16.03994575
18,2,0.432671506,8.994759867,26.11412913,44.2478727,20.2105668
19,1,0.44823775,7.257767408,19.29264399,43.73695198,29.26439887
21,1,0.315443198,6.052003064,21.1572259,46.00964355,26.46568429
22,1,0.820549411,8.176953264,21.67677488,44.03853015,25.28719229
23,2,2.596708698,31.01089976,34.03505022,23.45586664,8.901474674
24,1,0.366799413,4.789352337,16.55837351,48.98344163,29.30203312
25,1,0.148652537,3.279946293,12.30938909,46.37959145,37.88242064
26,1,0.285726845,5.600246165,18.53268276,45.98443888,29.59690536
27,1,0.282949982,5.339539978,18.65644396,46.20299379,29.51807229
28,3,1.17501702,15.23739882,26.72785496,36.47847903,20.38125016
29,3,0.746005639,11.5718985,27.15284305,38.77467105,21.75458177
30,3,0.322599566,7.337673764,27.55586838,43.4629597,21.32089859
31,3,0.477245611,11.59025055,35.24799727,40.94937788,11.73512869
32,3,0.832227717,14.14787119,27.89772042,39.29562176,17.82655892
33,3,0.601996495,9.700525794,23.43976225,44.06004725,22.19766822
34,3,0.564388882,9.800946717,25.84658332,45.52130113,18.26677995
35,3,0.971939175,9.962376548,21.36698542,46.66091864,21.03778022
36,4,0.525394046,10.79246935,30.88879159,41.02451839,16.76882662
37,3,0.376891489,5.839005456,21.28030601,51.18411431,21.31968274
38,4,0.634804816,11.71105436,30.25173294,42.07953302,15.32287486
39,3,0.552825553,10.21703522,26.63800164,44.62530713,17.96683047
40,4,1.060412949,16.07953097,27.27504461,39.22508284,16.35992863
41,3,0.80510626,10.29955755,23.99361718,45.86204395,19.03967506
42,4,0.105730598,4.349051949,23.54267992,54.11996899,17.88256855
43,5,0.604760047,7.403433476,25.79008974,47.90284822,18.29886851
44,5,0.108216743,2.519904151,15.69142769,59.42645126,22.25400015
45,3,0.709939148,13.31981068,30.20622042,42.68086545,13.0831643
46,5,0.157282164,5.746041732,26.03544091,52.70001049,15.3612247
47,3,0.26974627,6.381185198,27.28652112,51.159066,14.90348141
48,5,0.565700675,8.822945613,24.91398703,50.18195051,15.51541617
49,6,0.147601476,5.387453875,27.10332103,53.32718327,14.03444034
50,6,0.181940056,6.980752657,28.966772,50.70382074,13.16671455
51,6,0.059338377,3.167185877,21.20605251,57.20961282,18.35781041
52,5,0.209156403,4.291579518,19.69168797,54.62080719,21.18676892
53,6,0.130047065,3.492692594,20.33069111,57.22690116,18.81966807
54,6,0.453869048,10.9672619,33.05059524,45.17113095,10.35714286
55,6,0.519872547,7.454301526,26.18648331,47.32517189,18.51417072
56,6,0.084388186,4.572305332,27.13463751,53.95473725,14.25393172
57,6,0.150762682,5.188009933,25.83362895,54.63816956,14.18942888
58,6,0.356813996,14.08839779,36.3835175,41.4019337,7.769337017
59,6,0.371352785,12.13793103,36.82758621,40.08488064,10.57824934
60,6,0.081459759,3.861192571,23.39524275,56.63082437,16.03128055
61,6,0.324314307,9.368050408,31.77353595,47.08117124,11.45292809
62,2,0.898000678,19.94239241,41.57912572,30.43036259,7.150118604
63,4,0.608920688,13.12224083,31.40508449,41.80240524,13.06134876
64,6,0.35645329,12.47586514,35.97207783,42.71498589,8.480617852
