CityCode,Area,p02,p24,p46,p68,p810
1,1,0.346943365,6.951717048,22.40354653,52.27280028,18.02499277
2,5,0.110410095,5.910883281,37.42507886,49.59384858,6.95977918
3,1,0.112372177,3.798179571,20.24946623,58.77064839,17.06933363
4,3,0.364193981,7.207207207,27.16120376,53.88154112,11.38585394
5,2,0.36101083,9.025270758,28.70036101,53.06859206,8.844765343
6,2,0,6.105610561,31.02310231,54.62046205,8.250825083
7,2,0,7.154471545,31.8699187,53.98373984,6.991869919
8,2,0.136986301,6.506849315,27.46575342,54.8630137,11.02739726
9,2,0.093283582,5.037313433,28.17164179,54.6641791,12.03358209
10,2,0.082644628,7.272727273,27.27272727,55.45454545,9.917355372
11,2,0,4.013377926,24.74916388,60.2006689,11.0367893
12,2,0.177710079,6.270627063,26.14876872,53.66844377,13.73445037
13,2,0.10460251,4.811715481,28.0334728,55.23012552,11.82008368
14,2,0.19138756,7.368421053,27.46411483,52.24880383,12.72727273
15,2,0.09199632,4.170499847,21.64980067,53.75651641,20.33118675
16,1,0.048204387,3.229693902,17.44998795,57.98987708,21.28223668
17,1,0.252604989,5.020524155,21.47142406,55.25734133,17.99810546
18,2,0.109930377,5.203371198,22.04104067,54.12238915,18.5232686
19,1,0.231903263,2.849097234,16.86268014,59.08563856,20.9706808
21,1,0.120264582,3.412507517,19.88875526,56.08839447,20.49007817
22,1,0.246184146,5.612998523,18.85770556,53.52043328,21.76267848
23,2,0.452147702,7.309721176,26.97814619,50.86661643,14.3933685
24,1,0.158679784,3.998730562,18.24817518,58.48936845,19.10504602
25,1,0.019147918,2.269028243,18.14265199,62.33604596,17.2331259
26,1,0.088643751,4.363242391,23.62848419,55.5205358,16.39909386
27,1,0.077639752,3.157349896,19.51345756,57.45341615,19.79813665
28,3,0.302724521,7.37547014,23.52077791,49.9220255,18.87900193
29,3,0.335868814,8.307813889,25.67420725,48.37498765,17.30712239
30,3,0.045651678,4.884729514,19.69869893,55.30700753,20.06391235
31,3,0,6.684611934,28.5778376,53.20771646,11.52983401
32,3,0.392618767,7.027875932,25.95210051,52.88574794,13.74165685
33,3,0.240211386,4.395868364,24.3334134,57.41052126,13.61998559
34,3,0.185247558,4.580666891,25.96833951,58.82452004,10.441226
35,3,0.114635078,4.508979748,27.53152465,56.99273978,10.85212075
36,4,0.063411541,4.819277108,26.56943564,59.2263792,9.321496512
37,3,0.096602801,3.091289647,23.31347609,60.9241668,12.57446466
38,4,0.108506944,6.315104167,30.36024306,51.58420139,11.63194444
39,3,0.117164616,8.230814294,31.45869947,49.47275923,10.72056239
40,4,0.236127509,7.319952774,30.63754427,51.41676505,10.38961039
41,3,0.229638702,8.986527863,31.58297612,51.42375995,7.777097367
42,4,0.05627462,3.001313074,28.06227725,60.21384356,8.666291503
43,5,0.231140996,6.661063249,35.32254675,49.19100651,8.594242488
44,5,0.051107325,2.299829642,23.61158433,62.86201022,11.17546848
45,3,0.163309744,7.403375068,32.11758302,52.80348394,7.512248231
46,5,0.11327594,5.029451744,34.41323063,53.17172633,7.27231536
47,3,0.051934562,3.531550247,28.58997663,59.25733576,8.569202804
48,5,0.098135427,4.309037381,32.54527612,55.58033723,7.467213846
49,6,0.158112381,6.750182437,41.60788129,46.77693992,4.70688397
50,6,0.073295871,7.842658197,36.79452724,49.0349377,6.254580992
51,6,0.018119224,2.826599022,26.20039862,60.98930966,9.965573473
52,5,0.099672505,6.165456358,37.41990602,49.50875694,6.806208173
53,6,0.067804272,4.927110408,33.35970166,54.14171093,7.503672731
54,6,0.25925053,8.154607589,40.39594626,46.85364129,4.336554325
55,6,0.201567749,6.427771557,30.92945129,54.15453527,8.286674132
56,6,0.062565172,3.003128259,31.22002086,58.10218978,7.612095933
57,6,0.052854123,2.642706131,26.08350951,62.13002114,9.090909091
58,6,0.212947189,7.964224872,40.45996593,47.27427598,4.088586031
59,6,0.302114804,7.31789191,38.36858006,48.9761665,5.035246727
60,6,0.085215168,4.090328078,29.74009374,57.34980827,8.734554751
61,6,0.495369373,9.562782684,40.684902,44.4109412,4.846004738
62,2,0.481927711,9.879518072,36.62650602,44.21686747,8.795180723
63,4,0.166944908,8.973288815,35.85141903,48.41402337,6.594323873
64,6,0.175361683,8.768084174,38.62341078,47.56685664,4.866286716
