,ID,CityCode,CityArea,Math,Literature,English,Physics,Chemistry,Biology,Geography,History,Civic Education,A,B,C,A1,D1,A-BK,A1-BK,Highest_combi,year
159221,2057934,2,5,8.6,5.75,8.8,8.25,6.25,5.75,,,,23.1,20.6,,25.65,23.15,23.775,25.6875,A1,2021
620498,33007095,33,3,8.6,6.5,4.4,3.5,4.25,4.75,,,,16.35,17.6,,16.5,19.5,18.7125,18.825,D1,2021
12263,1012264,1,1,8.8,6.75,9.8,8.75,6.25,6.25,,,,23.8,21.3,,27.35,25.35,24.45,27.1125,A1,2021
187235,2085948,2,5,7.8,4,8.6,7.75,6,4.75,,,,21.55,18.55,,24.15,20.4,22.0125,23.9625,A1,2021
20359,1020360,1,1,7.6,6.25,8.8,6,5,6.5,,,,18.6,19.1,,22.4,22.65,19.65,22.5,D1,2021
141784,2040497,2,5,9.2,7.25,8.8,6.75,7.75,7.25,,,,23.7,24.2,,24.75,25.25,24.675,25.4625,D1,2021
459567,25013700,25,1,8.6,8,9.8,8.5,7.75,6.25,,,,24.85,22.6,,26.9,26.4,25.0875,26.625,A1,2021
13507,1013508,1,1,8.8,4.5,5.2,7.75,7.5,4.25,,,,24.05,20.55,,21.75,18.5,24.6375,22.9125,A,2021
670744,37009422,37,3,8.2,5,6.8,4.5,6.75,5.75,,,,19.45,20.7,,19.5,20,20.7375,20.775,B,2021
916429,54001607,54,6,7.6,5.75,9.4,6,6.25,5,,,,19.85,18.85,,23,22.75,20.5875,22.95,A1,2021
365632,18013017,18,2,9.6,9,9,8.5,9.25,6,,,,27.35,24.85,,27.1,27.6,27.7125,27.525,D1,2021
931661,55003048,55,6,8.6,9,8.2,7.5,7,6.25,,,,23.1,21.85,,24.3,25.8,23.775,24.675,D1,2021
764428,44000871,44,5,8.8,7.25,9,8.25,7.75,7.25,,,,24.8,23.8,,26.05,25.05,25.2,26.1375,A1,2021
