,ID,CityCode,CityArea,Math,Literature,English,Physics,Chemistry,Biology,Geography,History,Civic Education,A,B,C,A1,D1,A-BK,A1-BK,Highest_combi,year
45926,1045927,1,1,8,7.25,5.2,,,,6,3.25,7.25,,,16.5,,20.45,,,D1,2021
492679,27002906,27,1,6.2,7.25,7.6,,,,7.25,5,9.5,,,19.5,,21.05,,,D1,2021
220067,4005941,4,3,4.2,5.25,4.2,,,,6.25,3.5,7,,,15,,13.65,,,C,2021
44651,1044652,1,1,2.2,8.5,9.6,,,,8.75,9.25,8.75,,,26.5,,20.3,,,C,2021
578003,30002426,30,3,5.4,7.75,5.6,,,,6.25,4.5,9,,,18.5,,18.75,,,D1,2021
686957,38007609,38,4,6.4,6.25,3.4,,,,9.5,7.75,9.25,,,23.5,,16.05,,,C,2021
380182,19006554,19,1,7.4,7.75,6.8,,,,8,7.75,9.25,,,23.5,,21.95,,,C,2021
298252,14003786,14,2,5.2,7.5,5.6,,,,6.75,3.5,9.5,,,17.75,,18.3,,,D1,2021
468302,26001475,26,1,3.2,3,3.8,,,,6,4.5,8,,,13.5,,10,,,C,2021
987951,60003996,60,6,6,6,5.6,,,,6.25,5.25,8.5,,,17.5,,17.6,,,D1,2021
393676,21003660,21,1,8,8.25,7.2,,,,8,6.5,9.25,,,22.75,,23.45,,,D1,2021
1019468,64005205,64,6,6.6,6.75,5.6,,,,7.25,4.25,9.25,,,18.25,,18.95,,,D1,2021
613090,32008217,32,3,3.4,3,2.6,,,,4.75,4.75,6.25,,,12.5,,9,,,C,2021
716219,40011999,40,4,5.6,4,3.6,,,,8,5.5,9.25,,,17.5,,13.2,,,C,2021
436811,24000638,24,1,8.4,8.5,8.2,,,,7.25,5.75,8.75,,,21.5,,25.1,,,D1,2021
832011,48027059,48,5,6.6,4.5,4.4,,,,4.5,3.25,9,,,12.25,,15.5,,,D1,2021
432100,23005468,23,2,8.6,8,9.8,,,,8,7,9.25,,,23,,26.4,,,D1,2021
417047,22004684,22,1,7.8,6.25,6.8,,,,7.25,4.75,7.25,,,18.25,,20.85,,,D1,2021
206444,3015882,3,1,6.6,7.75,6.6,,,,9,6.75,9.75,,,23.5,,20.95,,,C,2021
540035,28039185,28,3,6.8,8.75,6.6,,,,6.5,2.25,8,,,17.5,,22.15,,,D1,2021
653238,35009714,35,3,6.2,7.75,4,,,,6.25,2.75,6.5,,,16.75,,17.95,,,D1,2021
105389,2004102,2,5,8,9,9,,,,8.25,7.25,9.75,,,24.5,,26,,,D1,2021
429683,23003051,23,2,4,5.5,3,,,,5,2.75,5.75,,,13.25,,12.5,,,C,2021
439449,24003276,24,1,8.4,8,5.6,,,,8.25,9.25,9.25,,,25.5,,22,,,C,2021
598588,31005671,31,3,3.6,6.5,3.4,,,,6.75,5.75,8.25,,,19,,13.5,,,C,2021
642291,34015543,34,3,5.4,5.5,4.8,,,,5.75,3.25,6.75,,,14.5,,15.7,,,D1,2021
401953,21011937,21,1,5.2,7.5,3.6,,,,7,7.75,8,,,22.25,,16.3,,,C,2021
953501,56012728,56,6,6.6,5.5,7.2,,,,7.25,3,9,,,15.75,,19.3,,,D1,2021
1003267,62002018,62,2,6,8,4.2,,,,6.5,3.75,8.75,,,18.25,,18.2,,,C,2021
674262,37012940,37,3,7.6,7.25,6,,,,8,7,9.25,,,22.25,,20.85,,,C,2021
278280,12008897,12,2,7.8,6,6.6,,,,9,6.75,9.5,,,21.75,,20.4,,,C,2021
670590,37009268,37,3,6.2,4.25,3,,,,6.5,3,7,,,13.75,,13.45,,,C,2021
431906,23005274,23,2,5.8,5.5,2.4,,,,7.5,5.5,7.25,,,18.5,,13.7,,,C,2021
920733,54005911,54,6,5.2,7,4.4,,,,8.25,7.5,9.5,,,22.75,,16.6,,,C,2021
4564,1004565,1,1,7.4,9,7.2,,,,8.5,7,8.75,,,24.5,,23.6,,,C,2021
221701,4007575,4,3,8.4,7.25,9.6,,,,7.25,4,9,,,18.5,,25.25,,,D1,2021
905546,53007147,53,6,5.8,8.5,4.6,,,,7.25,4.25,8.75,,,20,,18.9,,,C,2021
179446,2078159,2,5,7,8,9.6,,,,6.25,6.25,9.5,,,20.5,,24.6,,,D1,2021
953971,56013198,56,6,6.2,5.5,2.8,,,,6,3.5,7.75,,,15,,14.5,,,C,2021
915493,54000671,54,6,7,6.5,5,,,,7.25,5.75,8.75,,,19.5,,18.5,,,C,2021
49378,1049379,1,1,8,6.75,3.6,,,,7.75,6.5,8.75,,,21,,18.35,,,C,2021
818601,48013649,48,5,5.6,6.25,5.6,,,,6,3.5,7,,,15.75,,17.45,,,D1,2021
291454,13005098,13,2,3.6,6.5,3.4,,,,7.25,4.25,8,,,18,,13.5,,,C,2021
18872,1018873,1,1,7,8.5,8.4,,,,5.75,3.5,8.75,,,17.75,,23.9,,,D1,2021
726628,41002550,41,3,7.6,5.25,6.4,,,,8.25,8.25,9.25,,,21.75,,19.25,,,C,2021
537797,28036947,28,3,4.4,8,6.6,,,,5.25,5.25,6.75,,,18.5,,19,,,D1,2021
752163,42013447,42,4,7.4,9,8,,,,9,8.75,9.5,,,26.75,,24.4,,,C,2021
715403,40011183,40,4,3.6,7,3.2,,,,7,4.75,8,,,18.75,,13.8,,,C,2021
777156,44013599,44,5,5.2,7,2.2,,,,6.25,4,9,,,17.25,,14.4,,,C,2021
683547,38004199,38,4,6.6,7,4,,,,9.75,8.25,10,,,25,,17.6,,,C,2021
145679,2044392,2,5,8,7.5,8,,,,8,4.5,9.75,,,20,,23.5,,,D1,2021
63919,1063920,1,1,7.6,7,7.8,,,,6.25,5,7,,,18.25,,22.4,,,D1,2021
307421,15001527,15,2,8.2,6.75,4,,,,7.75,6,9.25,,,20.5,,18.95,,,C,2021
8423,1008424,1,1,7.6,9,8.8,,,,7.5,5.5,8,,,22,,25.4,,,D1,2021
299649,14005183,14,2,6,6.75,4.2,,,,7.75,6.75,9.75,,,21.25,,16.95,,,C,2021
384813,19011185,19,1,6.8,3.5,3.4,,,,6.75,4.5,9,,,14.75,,13.7,,,C,2021
6781,1006782,1,1,7.4,7.5,4.2,,,,6,4.5,7,,,18,,19.1,,,D1,2021
228861,5002019,5,2,4.8,7.25,6.6,,,,7.5,7.25,8.75,,,22,,18.65,,,C,2021
510881,28010031,28,3,5.6,7.75,7,,,,6,3.5,6.75,,,17.25,,20.35,,,D1,2021
408083,21018067,21,1,8.4,8,9,,,,8.75,6.5,9.5,,,23.25,,25.4,,,D1,2021
222247,4008121,4,3,8.8,5.75,8.8,,,,8,5,9,,,18.75,,23.35,,,D1,2021
77875,1077876,1,1,8,7,3.2,,,,7.75,7.25,8.75,,,22,,18.2,,,C,2021
588742,30013165,30,3,5.4,5.5,3.2,,,,5.25,4.25,7,,,15,,14.1,,,C,2021
591890,30016313,30,3,8,8.5,5.4,,,,8,5.5,9.5,,,22,,21.9,,,C,2021
349129,17012971,17,1,8,9.5,8,,,,6.5,4.75,8.75,,,20.75,,25.5,,,D1,2021
888322,52003118,52,5,6.6,7,5.2,,,,5,3.75,7,,,15.75,,18.8,,,D1,2021
