,Major ID,Type,Grade
0,TX1,Real Grades 2021,23.99
1,TX1,Predicted Grades Lower 2021,22.84
2,TX1,Predicted Grades Upper 2021,23.44
3,MS-E3,Real Grades 2021,23.99
4,MS-E3,Predicted Grades Lower 2021,22.95
5,MS-E3,Predicted Grades Upper 2021,23.55
6,TROY-BA,Real Grades 2021,23.25
7,TROY-BA,Predicted Grades Lower 2021,23.15
8,TROY-BA,Predicted Grades Upper 2021,23.7
9,TE-EP,Real Grades 2021,24.76
10,TE-EP,Predicted Grades Lower 2021,23.48
11,TE-EP,Predicted Grades Upper 2021,24.07
12,EV1,Real Grades 2021,24.01
13,EV1,Predicted Grades Lower 2021,23.55
14,EV1,Predicted Grades Upper 2021,24.15
15,ET-LUH,Real Grades 2021,25.13
16,ET-LUH,Predicted Grades Lower 2021,23.6
17,ET-LUH,Predicted Grades Upper 2021,24.25
18,ME-GU,Real Grades 2021,23.88
19,ME-GU,Predicted Grades Lower 2021,23.65
20,ME-GU,Predicted Grades Upper 2021,24.3
21,CH2,Real Grades 2021,24.96
22,CH2,Predicted Grades Lower 2021,23.89
23,CH2,Predicted Grades Upper 2021,24.45
24,ME-LUH,Real Grades 2021,25.16
25,ME-LUH,Predicted Grades Lower 2021,23.95
26,ME-LUH,Predicted Grades Upper 2021,24.6
27,CH3,Real Grades 2021,24.45
28,CH3,Predicted Grades Lower 2021,24.19
29,CH3,Predicted Grades Upper 2021,24.75
30,ME-NUT,Real Grades 2021,24.88
31,ME-NUT,Predicted Grades Lower 2021,24.25
32,ME-NUT,Predicted Grades Upper 2021,24.9
33,ED2,Real Grades 2021,24.8
34,ED2,Predicted Grades Lower 2021,24.25
35,ED2,Predicted Grades Upper 2021,24.75
36,PH2,Real Grades 2021,24.48
37,PH2,Predicted Grades Lower 2021,24.26
38,PH2,Predicted Grades Upper 2021,24.83
39,EM-E13,Real Grades 2021,25.55
40,EM-E13,Predicted Grades Lower 2021,24.6
41,EM-E13,Predicted Grades Upper 2021,25.16
42,MS1,Real Grades 2021,24.65
43,MS1,Predicted Grades Lower 2021,24.86
44,MS1,Predicted Grades Upper 2021,25.42
45,CH1,Real Grades 2021,25.2
46,CH1,Predicted Grades Lower 2021,24.9
47,CH1,Predicted Grades Upper 2021,25.46
48,EM5,Real Grades 2021,25.83
49,EM5,Predicted Grades Lower 2021,24.9
50,EM5,Predicted Grades Upper 2021,25.45
51,EM1,Real Grades 2021,25.65
52,EM1,Predicted Grades Lower 2021,24.95
53,EM1,Predicted Grades Upper 2021,25.45
54,TROY-IT,Real Grades 2021,25.5
55,TROY-IT,Predicted Grades Lower 2021,25.2
56,TROY-IT,Predicted Grades Upper 2021,25.75
57,EE-EP,Real Grades 2021,26.14
58,EE-EP,Predicted Grades Lower 2021,25.2
59,EE-EP,Predicted Grades Upper 2021,25.76
60,EM2,Real Grades 2021,25.75
61,EM2,Predicted Grades Lower 2021,25.25
62,EM2,Predicted Grades Upper 2021,25.8
63,HE1,Real Grades 2021,24.5
64,HE1,Predicted Grades Lower 2021,25.31
65,HE1,Predicted Grades Upper 2021,25.91
66,BF-E12,Real Grades 2021,24.44
67,BF-E12,Predicted Grades Lower 2021,25.35
68,BF-E12,Predicted Grades Upper 2021,25.91
69,EM4,Real Grades 2021,25.76
70,EM4,Predicted Grades Lower 2021,25.45
71,EM4,Predicted Grades Upper 2021,26.0
72,BF1,Real Grades 2021,25.34
73,BF1,Predicted Grades Lower 2021,25.61
74,BF1,Predicted Grades Upper 2021,26.14
